item,tag
Competencia,Compet%EAncia
Sexo,Sexo
Faixa etaria,Faixa_et%E1ria
Faixa etaria-Reajuste,Faixa_et%E1ria-Reajuste
Tipo de contratacao,Tipo_de_contrata%E7%E3o
Epoca de contratacao,%C9poca_de_contrata%E7%E3o
Segmentacao,Segmenta%E7%E3o
Segmentacao grupo,Segmenta%E7%E3o_grupo
Abrg. Geografica,Abrg._Geogr%E1fica
Modalidade,Modalidade
UF,UF
Grande Regiao/UF,Grande_Regi%E3o%2FUF
Grande Regiao,Grande_Regi%E3o
Capital,Capital
Interior,Interior
Reg. Metropolitana,Reg._Metropolitana
