REGISTRO
421421
421928
394734
418587
326305
325465
406708
418731
322326
417947
422321
417530
418021
342556
326755
419150
420158
419974
419958
420786
418803
419249
419141
421006
330892
418919
320510
327417
318299
421189
366561
379956
363766
311472
418749
300012
392804
350699
303623
310247
343013
413275
340782
321931
419168
422606
349682
395480
401480
410888
370592
311359
410292
418501
339954
422681
309222
413160
422444
368253
350249
419362
314706
420930
341941
392391
357511
420751
312282
347655
319422
333808
336831
422029
364592
414492
379280
416495
360767
348520
337510
373010
305928
372609
359017
416738
350729
419699
318477
418226
315265
350141
421707
343463
324299
323942
360244
411256
342807
348830
351270
415693
346870
415081
417823
326861
417475
305626
301728
369373
421669
414131
420981
422398
343676
342033
346471
353264
419338
355097
358509
348180
319180
403962
302091
344362
413372
414930
320111
410047
412058
303739
306649
326500
333875
354562
338346
412759
361852
412538
422835
414905
422380
